name,file_path,label,verb_in_name,template,is_inherited,constructors,total_methods,nonpublic_methods,static_methods,biggest_method_size,total_fields,nonpublic_fields,fields_class_refs,getters,setters,CG_edges,CG_no_entrance_vertexes,CG_no_out_vertexes,CG_comp_num,CG_strong_comp_num
add_const_past_pointer,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/type_traits.h,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SizerImpl,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/AlignOf.h,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FoldingSetTrait,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iterator_facade_base,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/iterator.h,-1.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0
SmallString,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/SmallString.h,-1.0,1.0,0.0,1.0,2.0,28.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,27.0,27.0,28.0
raw_pwrite_stream,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/raw_ostream.h,-1.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
buffer_ostream,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/raw_ostream.h,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APSInt,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/APSInt.h,-1.0,0.0,0.0,1.0,4.0,60.0,0.0,6.0,136.0,1.0,1.0,0.0,8.0,2.0,29.0,41.0,48.0,48.0,60.0
PickAlignment,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Endian.h,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RuntimeFunction,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/ARMWinEH.h,-1.0,1.0,0.0,0.0,2.0,11.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0
packed_endian_specific_integral,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Endian.h,-1.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0
BlockFrequency,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/BlockFrequency.h,-1.0,1.0,0.0,0.0,1.0,15.0,0.0,1.0,25.0,1.0,1.0,0.0,2.0,0.0,4.0,11.0,11.0,11.0,15.0
format_object,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Format.h,-1.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
BranchProbability,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/BranchProbability.h,-1.0,1.0,0.0,0.0,3.0,29.0,0.0,7.0,175.0,1.0,1.0,0.0,10.0,0.0,14.0,18.0,18.0,18.0,29.0
FormattedString,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Format.h,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FormattedNumber,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Format.h,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IntrusiveRefCntPtrInfo,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/IntrusiveRefCntPtr.h,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
ReferenceStorage,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/ErrorOr.h,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
PointerIntPair,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/PointerIntPair.h,-1.0,1.0,0.0,0.0,3.0,18.0,0.0,2.0,14.0,1.0,1.0,0.0,7.0,4.0,0.0,18.0,18.0,18.0,18.0
UniqueID,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/FileSystem.h,-1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,15.0,2.0,1.0,0.0,2.0,0.0,1.0,4.0,4.0,4.0,5.0
IntrusiveRefCntPtr,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/IntrusiveRefCntPtr.h,-1.0,0.0,0.0,0.0,4.0,11.0,0.18181818181818182,0.0,13.0,1.0,1.0,0.0,1.0,0.0,3.0,8.0,8.0,8.0,11.0
directory_iterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/FileSystem.h,-1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0
PointerIntPairInfo,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/PointerIntPair.h,-1.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0
CachePruning,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/CachePruning.h,-1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,269.0,4.0,1.0,0.0,0.0,3.0,0.0,4.0,4.0,4.0,4.0
RefCountedBase,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/IntrusiveRefCntPtr.h,-1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
ErrorOr,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/ErrorOr.h,-1.0,0.0,0.0,0.0,3.0,24.0,0.5833333333333334,2.0,37.0,3.0,0.3333333333333333,0.0,7.0,0.0,0.0,24.0,24.0,24.0,24.0
recursive_directory_iterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/FileSystem.h,-1.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,44.0,1.0,1.0,1.0,0.0,0.0,1.0,8.0,8.0,8.0,9.0
ThreadSafeRefCountedBase,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/IntrusiveRefCntPtr.h,-1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
bits_storage,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/CommandLine.h,-1.0,0.0,0.0,0.0,1.0,5.0,0.2,1.0,18.0,1.0,1.0,0.0,2.0,2.0,0.0,5.0,5.0,5.0,5.0
cast_convert_val,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Casting.h,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ManagedStatic,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/ManagedStatic.h,-1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
DebugEpochBase,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/EpochTracker.h,-1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0
parser,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/CommandLine.h,-1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,25.0,2.0,0.5,1.0,4.0,1.0,0.0,7.0,7.0,7.0,7.0
DenseMapIterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/DenseMap.h,-1.0,1.0,0.0,1.0,2.0,8.0,0.125,0.0,38.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,7.0,8.0
